Index,Comment
1,Má tôi yêu sữa
2,"Hợp lý cho người bổ sung canxi và vitamin.Ngon ,hàng chính hãng"
3,"Cảm ơn Shop giao hàng nhanh ,đóng gói đẹp mua được rẻ lại có quà nữa,hạn sử dụng xa ,uống hết sẽ quay lại mua tiếp"
4,"Đóng gói kỹ và có quà tặng ấm đun. Mới nhận hàng chưa uống, để uống xong đánh giá chất lượng sau"
5,ngon ngon ngon ngon
6,"Giao hàng nhanh, đóng gói chắc chắn, date cũg xa nữa, chưa thử nên chưa biết ntn nhưng sẽ ủng hộ shop tiếp"
7,hang tot con dc tang qua.
8,Hàng chuẩn
9,"Rất ngon , nồi rất đẹp"
10,"Sản phẩm chính hãng, giao nhanh, giao đúng hẹn"
11,"Dễ uống, Ngon"
12,Sản phẩm tốt nhiều Cảm ơn Shop
13,"đóng gói kỹ, dễ uống"
14,sp tốt
15,Thành phần tốt
16,"Giá shop bán mắc hơn shop gần nhà 1 hộp 20 k
Mua lần này thôi
Uống hết bước 5 bước mua rẻ hơn 
Được bình trà km coi như mua 40 k
Nhưng bình trà nhỏ xíu khg đuoc nhiêu nước"
17,"Hàng giao nhanh nhưng bị móp méo hết hộp
Đc tặng thêm ấm trà khá ổn"
18,Ấm trà bị bể rồi shop ơi
19,"Vận chuyển rất chán. Hộp móp méo hết, ấm được tặng thì vỡ nát.. cần chú ý khâu vận chuyển"
